longitude,latitude,user_id
121.5655044,31.33971413,0
121.524429,31.14157165,1
121.5250805,31.14137262,2
121.5250805,31.14137262,3
121.5262594,31.14163829,4
121.5249036,31.14100574,5
121.5251887,31.14069391,6
121.5246867,31.140986,7
121.6635775,31.19010859,8
121.5680126,31.23765347,9
121.5680992,31.23822183,10
121.4925016,31.1638844,11
121.5824764,31.28544702,12
121.5801234,31.28396483,13
121.7953087,30.940625245,14
121.5793956,31.11725291,15
121.7090113,31.04804126,16
121.708757,31.04842976,17
121.6007093,31.29863322,18
121.6011817,31.30000908,19
121.5331372,31.2043515,20
121.5331372,31.2043515,21
121.5331372,31.2043515,22
121.8685413,30.98453764,23
121.8685413,30.98453764,24
121.645149,31.06926314,25
121.5810048,31.13516826,26
121.5799878,31.13184332,27
121.5792518,31.13561005,28
121.57820565,31.13559684,29
121.5771595,31.13558363,30
121.5785263,31.1366919,31
121.5607417,31.14736725,32
121.5602247,31.14844083,33
121.558664,31.12609847,34
121.558664,31.12609847,35
121.558664,31.12609847,36
121.5591919,31.12583789,37
121.5589924,31.12580369,38
121.5609119,31.12538748,39
121.5604559,31.1250449,40
121.5599999,31.12470231,41
121.7643226,31.04974058,42
121.758316,31.04872952,43
121.7583918,31.04916459,44
121.7688216,31.05408251,45
121.76869465,31.05324453,46
121.7685677,31.05240654,47
121.7684144,31.05240609,48
121.7055922,31.13883583,49
121.7525565,31.04655199,50
121.5591439,31.35637793,51
121.5376153,31.18072256,52
121.6120046,31.14675663,53
121.6121932,31.14679747,54
121.6121932,31.14679747,55
121.6121932,31.14679747,56
121.5868902,31.19480811,57
121.5868902,31.19480811,58
121.5869115,31.19489653,59
121.5869115,31.19489653,60
121.5869115,31.19489653,61
121.5869013,31.19487022,62
121.5868488,31.19441431,63
121.587024,31.19395635,64
121.587024,31.19395635,65
121.587024,31.19395635,66
121.587024,31.19395635,67
121.5884324,31.19534849,68
121.5884324,31.19534849,69
121.5884324,31.19534849,70
121.5889347,31.19577459,71
121.5889347,31.19577459,72
121.5889347,31.19577459,73
121.5889347,31.19577459,74
121.58895155,31.19577548,75
121.5889684,31.19577637,76
121.58883,31.19535687,77
121.5894307,31.19499633,78
121.6936269,31.06356184,79
121.5213305,31.23113386,80
121.7404122,31.04389404,81
121.6496396,31.13550872,82
121.558867,31.2271234,83
121.558867,31.2271234,84
121.558867,31.2271234,85
121.558867,31.2271234,86
121.558867,31.2271234,87
121.5584804,31.2277123,88
121.5581783,31.22850396,89
121.5599633,31.22890721,90
121.560841,31.22880009,91
121.5603385,31.22948927,92
121.5595629,31.2285446,93
121.5587873,31.22759993,94
121.5436689,31.24270459,95
121.7285101,31.03670702,96
121.6480984,31.18582217,97
121.7485473,31.04392647,98
